,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh,QuadratureCoil_b1corr,BirdcageEnh_b1corr
85,0.033765275,0.06302771,0.269938,0.027679076,0.046654325,0.04752074,0.016627813,0.02531256
86,0.042967092,0.054677516,0.21126455,0.016445281,0.06440206,0.053648867,0.014993235,0.0746045
87,0.05872218,0.037337575,0.17534825,0.011688641,0.07474116,0.054455552,0.017570512,0.0841636
88,0.06723187,0.027918713,0.15086739,0.010318305,0.06833547,0.03369321,0.052188255,0.01248074
89,0.076507285,0.036445536,0.12507077,0.010588416,0.010572042,0.01941113,0.047987476,0.02114508
90,0.09323815,0.049791228,0.0920012,0.008099068,0.07260808,0.022995941,0.042057768,0.09101926
91,0.11251452,0.049526338,0.057960037,0.003667897,0.09623455,0.029083386,0.038841702,0.065425426
92,0.11402321,0.026643831,0.036708165,0.0031327128,0.06107607,0.035414826,0.044650935,0.036220934
93,0.083204426,0.008213826,0.03099201,0.0033144092,0.041697863,0.019498277,0.021776794,0.028742185
94,0.03927693,0.026795676,0.026518015,0.009571776,0.06729602,0.030698355,0.018920658,0.056150973
95,0.026535572,0.03397707,0.017284831,0.013083611,0.08623085,0.0735191,0.034627896,0.032325972
96,0.027474828,0.029820466,0.011389251,0.009330905,0.07489612,0.07752954,0.0471517,0.005393938
97,0.04815812,0.020485744,0.015760569,0.0015118887,0.08988555,0.041835357,0.035921607,9.5958116e-05
98,0.056382827,0.03393642,0.021407418,0.0077582775,0.08851193,0.01907203,0.0062941834,0.0053153713
99,0.035016708,0.034836043,0.013531847,0.010156092,0.08488056,0.04093155,0.0024569938,0.010996106
100,0.022853842,0.017495897,0.008881169,0.007939589,0.08152034,0.048141778,0.01159853,0.015796024
101,0.029354235,0.018966476,0.023978323,0.0059457435,0.07327034,0.030362021,0.049664464,0.053708233
102,0.019879267,0.02761602,0.020237334,0.0066357153,0.091890626,0.010952566,0.046312306,0.03338567
103,0.0049524163,0.031288594,0.0063814213,0.0077196164,0.07759406,0.042428903,0.03879938,0.012502697
104,0.025236046,0.03279738,0.0029313269,0.006040805,0.041407008,0.05468399,0.01277578,0.016835984
105,0.053571507,0.036272384,0.0022063549,0.0017876971,0.012540954,0.061067708,0.0047210255,0.019127186
106,0.072313614,0.04055282,0.008789354,0.0036695478,0.007831697,0.060403407,0.0026954466,0.010453777
107,0.05947136,0.03564654,0.010474443,0.0058287857,0.012567622,0.053146977,0.020922517,0.017727708
108,0.018552767,0.022596013,0.008487873,0.006177482,0.021743037,0.038734343,0.0059833815,0.0075435275
109,0.018016594,0.015056399,0.0045004897,0.0068199155,0.030900856,0.04471979,0.0061328625,0.011764395
110,0.023081077,0.017162295,0.007803654,0.008572102,0.025392812,0.07357899,0.028168485,0.06173277
111,0.013693321,0.030717188,0.025317516,0.010193056,0.031202234,0.062106375,0.011540506,0.067870624
112,0.009805608,0.03271512,0.0351872,0.010624418,0.070782,0.03315297,0.005235793,0.062272932
113,0.0064549237,0.016014593,0.026045691,0.009645862,0.09101938,0.04369921,0.010977046,0.02042707
114,0.01791041,0.011561444,0.006935434,0.0047984356,0.08169681,0.039911713,0.042011198,0.013801154
115,0.017812507,0.01681158,0.022153726,0.010023673,0.06276466,0.07255817,0.030556427,0.0150168715
116,0.0128362505,0.01886623,0.028807405,0.017700842,0.054160874,0.09810759,0.00851005,0.056635913
117,0.007977195,0.02128322,0.023988556,0.013229176,0.055530313,0.069301404,0.0070068375,0.039741028
118,0.010001581,0.021996273,0.01926647,0.000320125,0.06555547,0.027212847,0.013753261,0.016262641
119,0.0062334575,0.032137316,0.017999766,0.008959603,0.08273013,0.046504032,0.0070851403,0.021286143
