,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
0,0.05293994,0.040482033,0.02918726,0.016189257,0.034342673,0.07558368
1,0.09841063,0.06758514,0.0032222923,0.00843319,0.10427726,0.09522605
2,0.07592545,0.04593451,0.04950754,0.013413852,0.07685619,0.037580688
3,0.0853446,0.045307953,0.02432977,0.008314639,0.08955895,0.15015814
4,0.030768821,0.033627592,0.056461193,0.01916378,0.065700635,0.17002983
5,0.17548019,0.080158435,0.030054143,0.012035591,0.16585432,0.06761827
6,0.14486814,0.10115569,0.052351765,0.004000391,0.20218953,0.096229784
7,0.14738089,0.025105534,0.07535742,0.017233344,0.06602081,0.10326298
8,0.10945697,0.019155199,0.0110859545,0.032118678,0.18169042,0.19018784
9,0.09584339,0.065598905,0.027207755,0.029885078,0.14902793,0.04247303
10,0.026866844,0.011729185,0.012910849,0.020013852,0.12302076,0.22067493
11,0.029129416,0.057664122,0.06978515,0.007091181,0.16176216,0.09496769
12,0.07999688,0.048208393,0.012115778,0.010418261,0.09740376,0.19263338
13,0.041496683,0.06327691,0.012052313,0.0024847344,0.15545593,0.27477795
14,0.08053039,0.018683707,0.036962904,0.019960832,0.19081774,0.14081801
15,0.01945379,0.052625544,0.05692978,0.016172545,0.2010545,0.16231611
16,0.032725945,0.061549325,0.04043536,0.013819821,0.17770976,0.13933617
17,0.1402952,0.046210445,0.04400761,0.005296716,0.115579635,0.14778894
18,0.13323388,0.044903688,0.034974374,0.013124086,0.047053106,0.05950905
19,0.06526763,0.0872565,0.044401463,0.019137068,0.016917715,0.10781507
20,0.04173818,0.03882527,0.04431143,0.0040136892,0.09022219,0.14336525
21,0.0203411,0.05831369,0.035769038,0.014724508,0.06324855,0.21776806
22,0.040579498,0.06271267,0.044605907,0.020829305,0.0738755,0.1677484
23,0.040911082,0.034122378,0.0377269,0.027723353,0.22843845,0.33054167
24,0.10461604,0.09531513,0.014478951,0.026834907,0.605805,0.4393549
25,0.031292945,0.1060391,0.016876291,0.008623979,0.6729909,0.4787703
26,0.106302656,0.12936628,0.02670952,0.012268624,0.57427067,0.34072855
27,0.12537076,0.07715793,0.036280587,0.007543174,0.690623,0.31279868
28,0.069869086,0.07356754,0.023856994,0.028121388,0.63370943,0.3609839
29,0.061226245,0.09533323,0.036674436,0.037643008,0.4938972,0.35593557
30,0.02018224,0.029082362,0.02852425,0.015475318,0.46800697,0.3248473
31,0.041649893,0.08348604,0.028989824,0.04088152,0.6248178,0.26431277
32,0.057798125,0.04494327,0.036373194,0.016391108,0.6399986,0.3104043
33,0.03203121,0.13164602,0.03373735,0.031303607,0.65383095,0.25824413
34,0.048591353,0.049206518,0.056463923,0.029828226,0.67158246,0.295284
35,0.1380409,0.07048484,0.07515751,0.038648922,0.68934613,0.44184682
36,0.10753127,0.07007394,0.12875944,0.045342926,0.60611594,0.3762788
37,0.041834336,0.046531636,0.018426174,0.009236878,0.546985,0.26141706
38,0.051777493,0.04801309,0.0136496285,0.017925335,0.65203285,0.31204918
39,0.076236956,0.10690889,0.06278143,0.008470314,0.61344844,0.4616828
40,0.06447794,0.08511335,0.04844718,0.013193165,0.6255699,0.3991609
41,0.09953421,0.15450376,0.07560653,0.05598802,0.64899755,0.29497957
42,0.12152787,0.14983717,0.11773061,0.056295153,0.63557214,0.28990948
43,0.18719262,0.17717452,0.12828764,0.1180452,0.59926975,0.4838781
44,0.2774118,0.19150926,0.19501415,0.18347722,0.5347653,0.61707604
45,0.25226605,0.072507866,0.19170411,0.15196992,0.5442404,0.46337208
46,0.23120202,0.13898402,0.14017572,0.12711047,0.6336187,0.3225483
47,0.25028026,0.23506607,0.2301729,0.14115968,0.738033,0.37352288
48,0.23083223,0.20964272,0.28589094,0.22847325,0.684084,0.41542915
49,0.2722308,0.32793763,0.2951549,0.2868111,0.59430623,0.29596254
50,0.421444,0.4284474,0.3432292,0.33387035,0.61418253,0.29375634
51,0.5314846,0.49411288,0.38719246,0.35986906,0.7445734,0.43759355
52,0.49487376,0.45909563,0.44522634,0.4093546,0.76105195,0.5539605
53,0.53620785,0.41686538,0.5364568,0.50848264,0.83828694,0.6572254
54,0.6115222,0.500561,0.6136058,0.5986429,0.7563303,0.73709625
55,0.7315574,0.61268616,0.7720506,0.7216861,0.84873164,0.6389414
56,0.7965753,0.6966131,0.8535068,0.8512203,0.7276417,0.61780983
57,0.8705647,0.744291,0.8619874,0.9707047,0.7614754,0.5978849
58,0.9698481,0.80988663,0.7866987,0.9899615,0.86898565,0.43155932
59,0.8628811,0.60746706,0.4500297,0.7895246,0.6360854,0.11899479
60,0.49336255,0.34418812,0.11943567,0.32497895,0.68400824,0.14349279
61,0.1507004,0.19456744,0.07718964,0.07080449,0.5166595,0.013132743
62,0.087375544,0.08418546,0.07921858,0.026310585,0.36743566,0.17106268
63,0.012809807,0.0799284,0.04586817,0.013869502,0.22011349,0.103663005
64,0.057594046,0.10749269,0.030045034,0.023426184,0.10684898,0.1485043
65,0.09168334,0.052426286,0.035959754,0.015808295,0.2198759,0.12831931
66,0.061998725,0.062570155,0.036461905,0.012072941,0.048646983,0.14831091
67,0.029121919,0.078590095,0.04559938,0.016994163,0.104191616,0.16204965
68,0.072025366,0.0387205,0.044803128,0.009395839,0.05886379,0.11248227
69,0.07965775,0.06868971,0.008525846,0.029844454,0.068957135,0.105403446
70,0.041550454,0.09762165,0.032483503,0.042133667,0.11222588,0.23558493
71,0.12548679,0.11635863,0.047906406,0.0017488521,0.042974107,0.18440022
72,0.07054442,0.08693714,0.0377483,0.025173258,0.1565909,0.08044347
73,0.057950813,0.06870023,0.027432784,0.020578228,0.1498567,0.07480368
74,0.009800424,0.005000246,0.035635345,0.005163808,0.112505116,0.25710905
75,0.041297365,0.07206549,0.058998086,0.027283723,0.21278603,0.36337432
76,0.1405624,0.03667016,0.014517156,0.012229591,0.064096384,0.15694836
77,0.09543385,0.008371459,0.052280366,0.0054480573,0.06818539,0.19860134
78,0.09262894,0.082116514,0.03401122,0.010769435,0.08288769,0.12204127
79,0.05214035,0.058914512,0.029479133,0.011189305,0.09312369,0.2562135
