,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
0,0.039756358,0.027138544,0.033856925,0.013099012,0.07007973,0.12094548
1,0.04287584,0.0486022,0.01855508,0.010150044,0.13956368,0.12071661
2,0.1630952,0.009280845,0.03706788,0.017281089,0.16037163,0.2108722
3,0.08219975,0.06392801,0.03330795,0.014229345,0.18817039,0.12462997
4,0.042866513,0.063134685,0.017261967,0.02440865,0.09282021,0.15513799
5,0.07190237,0.027787106,0.00680208,0.01633189,0.13784614,0.045326494
6,0.027013268,0.09071895,0.015629139,0.020776847,0.14850877,0.15317744
7,0.029572615,0.052831616,0.036005374,0.019321578,0.02788258,0.10255222
8,0.09325533,0.09559713,0.043264322,0.013740659,0.10483615,0.1820929
9,0.105022244,0.019287877,0.028680021,0.013563131,0.07354461,0.16645241
10,0.09332284,0.058439177,0.05044604,0.008251843,0.121240616,0.12148494
11,0.079254724,0.036946822,0.045744706,0.02138616,0.074591465,0.13126945
12,0.056782123,0.017115954,0.037232645,0.024789276,0.08176019,0.1435286
13,0.0642814,0.04705045,0.019506363,0.015964035,0.15599608,0.03628408
14,0.087833606,0.048368663,0.033447977,0.016196769,0.09544207,0.22565547
15,0.06364994,0.06749304,0.03063048,0.025812933,0.16389945,0.18052945
16,0.029104296,0.05134326,0.03549988,0.00097491476,0.09640978,0.04138593
17,0.05692372,0.048184723,0.03525217,0.010816839,0.117980026,0.17648639
18,0.069319464,0.04471028,0.04863699,0.023920415,0.12383553,0.13492104
19,0.033633307,0.07928105,0.042872936,0.027065951,0.20746182,0.05255292
20,0.05157212,0.06212262,0.02844844,0.02716323,0.09652794,0.03505444
21,0.049945273,0.038563997,0.037078444,0.035341725,0.14016217,0.008311194
22,0.052834895,0.039242055,0.038232066,0.036181733,0.13839799,0.121520184
23,0.050274607,0.024462333,0.02438801,0.035610672,0.17683813,0.1139008
24,0.12407272,0.09043976,0.02941659,0.04168171,0.2827326,0.18493749
25,0.30404752,0.13859415,0.05725437,0.12860784,0.5679109,0.08149805
26,0.5628441,0.31662232,0.0736341,0.2938623,0.68135315,0.121579856
27,0.64303213,0.5043366,0.0618756,0.4235064,0.70587635,0.31965432
28,0.68943244,0.59836507,0.012887399,0.5053809,0.8639279,0.38672566
29,0.7947482,0.62556714,0.16743106,0.5202122,0.630732,0.37606943
30,0.6962009,0.6005742,0.37238693,0.53780216,0.55654687,0.42571932
31,0.6320702,0.5956837,0.56153965,0.55227137,0.6656091,0.5031043
32,0.76319844,0.5989979,0.6578043,0.5377658,0.7609151,0.653481
33,0.796607,0.5854017,0.6308725,0.5860676,0.86255175,0.6675894
34,0.7688802,0.5291953,0.6830643,0.59592617,0.89080304,0.49753287
35,0.635216,0.5639389,0.6852939,0.6265361,0.7868237,0.48115864
36,0.5418716,0.5790054,0.67050064,0.66443044,0.66524494,0.45973483
37,0.6255078,0.6013951,0.6762314,0.68072075,0.605676,0.5788917
38,0.7315574,0.61268616,0.64628077,0.71023864,0.7276417,0.6572254
39,0.6765985,0.6504145,0.6461315,0.7216861,0.6513539,0.64703894
40,0.7359566,0.72883236,0.63069624,0.71653694,0.73675174,0.5919988
41,0.7317034,0.68172544,0.640386,0.733559,0.7997152,0.5055677
42,0.6745669,0.6290917,0.6136058,0.7542308,0.7884348,0.60144174
43,0.7143125,0.6457617,0.58523715,0.75056064,0.6720233,0.6782693
44,0.833043,0.58408666,0.62648463,0.7700894,0.7321584,0.60669744
45,0.7917005,0.6873907,0.69105166,0.7460849,0.82792485,0.5939757
46,0.70669466,0.8667663,0.7045832,0.720637,0.63683367,0.6952456
47,0.8523946,0.8919615,0.67235976,0.71324354,0.8310977,0.72258085
48,0.82873446,0.69001913,0.6965269,0.70757514,0.7714169,0.82772535
49,0.86222166,0.5612345,0.7413728,0.7076881,0.6133944,1.0
50,0.7934077,0.4107339,0.7844413,0.6435531,0.7504221,0.83403724
51,0.6374213,0.37418494,0.7829788,0.5156926,0.78210074,0.89225966
52,0.3534393,0.30027714,0.8287329,0.33211115,0.47317654,0.49129686
53,0.142482,0.18996139,0.8843281,0.17897612,0.22507793,0.08116937
54,0.03620031,0.1949086,0.95118344,0.07439776,0.16121352,0.12062406
55,0.080554105,0.17406134,1.0,0.029111512,0.023978295,0.06042479
56,0.15523063,0.049219873,0.85620934,0.015140919,0.031514514,0.14131238
57,0.10520315,0.06619231,0.61100626,0.010520385,0.068225965,0.09215912
58,0.08911929,0.033378646,0.32271245,0.009917117,0.05329382,0.06101922
59,0.029670121,0.039077174,0.10597451,0.026786514,0.053805366,0.045172483
60,0.075996764,0.0445515,0.06404042,0.0076908004,0.11948285,0.10117661
61,0.040380813,0.020368163,0.046243347,0.017354032,0.22326112,0.021122806
62,0.06215574,0.04519562,0.030087238,0.014848908,0.09415388,0.065485455
63,0.13049993,0.017876413,0.0397568,0.010571615,0.14648752,0.1764429
64,0.08336499,0.097031474,0.031591214,0.0058105527,0.08289249,0.21518102
65,0.056459393,0.097496875,0.021144655,0.016179658,0.06067314,0.16062735
66,0.021204654,0.08245546,0.02288573,0.0074143787,0.1443504,0.23281573
67,0.09236624,0.010051403,0.059290253,0.032838047,0.12429292,0.13993666
68,0.04095407,0.04089271,0.027422268,0.03304023,0.119788595,0.05587754
69,0.022651032,0.015757147,0.018507749,0.03393578,0.0928165,0.07579668
70,0.050435837,0.114340834,0.021217555,0.017651495,0.131802,0.06348254
71,0.01570432,0.13811938,0.04251967,0.007499279,0.17614989,0.15650387
72,0.058724973,0.09268254,0.027803427,0.017360236,0.103715144,0.15270957
73,0.05772309,0.02784362,0.021640645,0.0040794397,0.1447911,0.16940105
74,0.08615546,0.08323751,0.018367048,0.026794642,0.036664803,0.123678364
75,0.011333454,0.033322435,0.018293984,0.00683697,0.027809154,0.049349766
76,0.047403328,0.03839685,0.003945809,0.024771295,0.019312125,0.14245488
77,0.06676704,0.013057544,0.03745929,0.008045213,0.09160246,0.24642712
78,0.090657964,0.03369802,0.03585813,0.006259396,0.040226027,0.100196265
79,0.037876677,0.06317634,0.065256074,0.010261997,0.04436848,0.10055776
